government,org_name,repo_name,repo_full_name,repo_age_days,repo_age_months,commit_frequency_per_month,avg_issue_resolution_time_hours,open_issues_percentage,last_commit_date,days_since_last_commit,num_contributors,num_forks,num_stars,merged_pr_percentage,external_pr_percentage,has_readme,has_license,has_contributing,has_cicd,total_commits,open_issues,closed_issues,open_prs,closed_prs
france,etalab,SIANCE,etalab/SIANCE,869,28.54796320630749,0.1401150747986191,,0.0,2022-10-26 10:42:51,869.0,1,3,1,0.0,0.0,True,False,False,False,4,0,0,0,0
france,etalab,etalab-website,etalab/etalab-website,853,28.02233902759527,1.6772332942555686,0.5747222222222222,0.0,2022-12-12 04:40:30,823.0,1,2,1,0.0,0.0,True,False,False,True,47,0,1,0,0
france,etalab,site-aic-v2,etalab/site-aic-v2,821,26.971090670170828,19.279902557856275,1.4316538742690057,1.935483870967742,2023-10-12 22:36:22,518.0,10,1,1,98.06451612903226,100.0,True,True,True,True,520,3,152,3,152
france,etalab,siade_staging_data,etalab/siade_staging_data,784,25.755584756898816,19.063826530612246,430.3862538051751,2.013422818791946,2025-03-12 11:25:40,1.0,13,14,3,99.2248062015504,100.0,True,True,False,True,491,3,146,1,128
france,etalab,cachex,etalab/cachex,772,25.36136662286465,21.883678756476684,,0.0,2023-01-10 07:14:23,794.0,23,0,0,0.0,0.0,True,True,False,False,555,0,0,0,0
france,etalab,datagouv-dataeng-utils,etalab/datagouv-dataeng-utils,769,25.26281208935611,0.07916775032509753,,0.0,2023-02-03 16:47:44,769.0,1,0,1,0.0,0.0,True,False,False,False,2,0,0,0,0
france,etalab,schema-comptage-mobilites,etalab/schema-comptage-mobilites,708,23.258869908015768,0.687909604519774,125.70840277777778,42.857142857142854,2023-05-16 06:23:17,668.0,3,4,1,60.0,100.0,True,False,False,True,16,3,4,2,3
france,etalab,schema-comptage-mobilites_test,etalab/schema-comptage-mobilites_test,696,22.864651773981603,0.5685632183908046,,0.0,2023-04-17 09:16:47,696.0,2,0,0,0.0,0.0,True,False,False,False,13,0,0,0,0
france,etalab,schema-tiers-lieu,etalab/schema-tiers-lieu,667,21.911957950065702,0.04563718140929535,,0.0,2023-05-16 11:43:34,667.0,1,0,2,0.0,0.0,True,False,False,True,1,0,0,0,0
france,etalab,schema-indice-reparabilite,etalab/schema-indice-reparabilite,666,21.879106438896187,2.1024624624624626,305.94702020202027,21.428571428571427,2024-10-11 09:32:09,153.0,3,1,0,100.0,100.0,True,False,False,True,46,3,11,0,10
france,etalab,schema-indice-durabilite,etalab/schema-indice-durabilite,476,15.637319316688567,0.8952941176470589,61.529583333333335,0.0,2024-04-23 14:39:38,324.0,2,1,0,100.0,100.0,True,False,False,True,14,0,6,0,6
france,etalab,data_pass,etalab/data_pass,469,15.407358738501971,202.3059275053305,75.51468276075519,1.2379642365887207,2025-03-13 17:33:00,0.0,15,3,3,98.89807162534436,100.0,True,False,False,True,3117,9,718,8,718
france,etalab,.github,etalab/.github,400,13.140604467805518,0.6088,,0.0,2024-11-19 11:03:21,114.0,1,0,0,0.0,0.0,False,False,False,False,8,0,0,0,0
france,etalab,transport-profil-siri-fr,etalab/transport-profil-siri-fr,354,11.629434954007884,8.082937853107344,2759.0145634920636,74.07407407407408,2025-02-28 10:55:29,13.0,5,1,2,100.0,100.0,True,False,False,True,94,20,7,0,3
france,etalab,flask-navigation-temp-python-311,etalab/flask-navigation-temp-python-311,325,10.676741130091983,9.085169230769232,,0.0,2023-01-14 12:03:50,789.0,4,0,0,0.0,0.0,False,True,False,False,97,0,0,0,0
france,etalab,hackathon-dsn,etalab/hackathon-dsn,321,10.545335085413928,0.4741433021806854,0.05402777777777778,0.0,2024-05-13 14:39:14,304.0,1,17,4,100.0,100.0,True,True,False,False,5,0,2,0,2
france,etalab,formulaire-qf,etalab/formulaire-qf,318,10.446780551905388,53.60503144654088,123.69629208754205,1.9801980198019802,2025-03-10 08:41:39,3.0,7,0,1,98.01980198019803,100.0,True,True,False,True,560,4,198,4,198
france,etalab,programme10pourcent-kallm,etalab/programme10pourcent-kallm,315,10.348226018396845,9.470222222222223,198.5676944444445,9.090909090909092,2025-02-10 09:38:45,31.0,11,2,4,90.47619047619048,100.0,True,False,False,True,98,2,20,2,19
france,etalab,api-entreprise-integration,etalab/api-entreprise-integration,314,10.315374507227332,0.3877707006369427,,0.0,2024-05-14 22:13:09,303.0,1,0,0,0.0,0.0,False,True,False,False,4,0,0,0,0
france,etalab,hackathon-GenAI-for-Public-Good,etalab/hackathon-GenAI-for-Public-Good,121,3.9750328515111693,1.2578512396694215,0.018055555555555554,0.0,2025-02-04 09:31:10,37.0,2,18,2,100.0,100.0,True,True,False,False,5,0,1,0,1
