government,org_name,repo_name,repo_full_name,repo_age_days,repo_age_months,commit_frequency_per_month,avg_issue_resolution_time_hours,open_issues_percentage,last_commit_date,days_since_last_commit,num_contributors,num_forks,num_stars,merged_pr_percentage,external_pr_percentage,has_readme,has_license,has_contributing,has_cicd,total_commits,open_issues,closed_issues,open_prs,closed_prs
usa,usagov,1.usa.gov,usagov/1.usa.gov,2151,70.66360052562418,0.3113342631334263,0.061666666666666675,0.0,2024-01-30 20:25:18,406,4,3,2,100.0,100.0,False,False,False,False,22,0,3,0,3
usa,usagov,usagov-analytics-dashboard,usagov/usagov-analytics-dashboard,2129,69.94086727989487,0.1143823391263504,,100.0,2020-04-27 18:46:29,1780,2,2,4,0.0,100.0,True,False,True,False,8,3,0,3,0
usa,usagov,usagov-prototype,usagov/usagov-prototype,1870,61.432325886990796,0.08139037433155082,6953.095694444444,66.66666666666666,2020-08-20 18:53:23,1665,1,2,3,33.33333333333333,100.0,True,False,False,False,5,4,2,4,2
usa,usagov,usagov-2021,usagov/usagov-2021,1421,46.681997371879106,255.66600985221675,112.47780322118473,0.9251101321585903,2025-03-10 15:29:32,2,29,12,18,99.07366563740626,100.0,True,False,False,True,11935,21,2249,21,2246
usa,usagov,usagov-elected-officials,usagov/usagov-elected-officials,1371,45.039421813403415,1.6874106491611962,0.02638888888888889,87.5,2021-08-09 21:31:10,1310,3,2,3,12.5,100.0,True,False,False,False,76,7,1,7,1
usa,usagov,pangolin,usagov/pangolin,1216,39.94743758212878,1.3267434210526317,226.0417814009662,30.303030303030305,2022-01-05 22:27:35,1161,2,1,4,83.33333333333334,100.0,True,False,False,True,53,20,46,3,15
usa,usagov,beta.usa.gov-static-form,usagov/beta.usa.gov-static-form,1182,38.83048620236531,0.10301184433164129,,0.0,2021-12-15 21:31:34,1182,1,1,0,0.0,0.0,False,False,False,False,4,0,0,0,0
usa,usagov,test-at-home,usagov/test-at-home,1161,38.14060446780552,12.322825150732129,27.607263099219622,6.853582554517133,2022-02-23 13:57:13,1113,7,1,8,100.0,100.0,True,False,True,False,470,22,299,0,165
usa,usagov,go-sunset,usagov/go-sunset,952,31.274638633377133,1.1830672268907563,,100.0,2022-09-21 17:23:40,903,2,1,0,0.0,100.0,True,False,False,False,37,2,0,2,0
usa,usagov,vote-gov-drupal,usagov/vote-gov-drupal,848,27.8580814717477,35.60905660377359,102.52372150130665,0.48426150121065376,2025-03-07 00:57:08,5,13,5,8,99.51573849878935,100.0,True,False,False,True,992,6,1233,6,1233
usa,usagov,vote-gov-nvrf-prototype,usagov/vote-gov-nvrf-prototype,771,25.328515111695136,1.1449546044098573,143.69685185185185,40.0,2023-08-01 23:53:13,588,2,1,0,60.0,100.0,False,False,False,False,29,2,3,2,3
usa,usagov,usagov-archive-2023,usagov/usagov-archive-2023,666,21.879106438896187,1.4625825825825827,,0.0,2023-06-02 14:50:46,649,2,1,0,0.0,0.0,False,False,False,False,32,0,0,0,0
usa,usagov,vote-gov-nvrf-app,usagov/vote-gov-nvrf-app,643,21.12352168199737,19.17293934681182,136.52725731780168,0.2680965147453083,2025-03-06 21:09:51,5,8,3,3,99.73190348525469,100.0,True,False,False,True,405,1,372,1,372
usa,usagov,vote-gov-tf,usagov/vote-gov-tf,643,21.12352168199737,1.6095800933125972,136.2785648148148,0.0,2025-03-11 11:56:14,1,2,2,2,100.0,100.0,True,False,False,False,34,0,18,0,18
usa,usagov,vote-gov-pdf-tool,usagov/vote-gov-pdf-tool,643,21.12352168199737,0.09468118195956454,190.87083333333334,50.0,2023-06-21 16:15:56,630,1,1,0,50.0,100.0,False,False,False,False,2,1,1,1,1
usa,usagov,Mobile_Carousel,usagov/Mobile_Carousel,568,18.659658344283837,1.661338028169014,,0.0,2023-09-21 19:27:03,538,1,1,0,0.0,0.0,False,False,False,False,31,0,0,0,0
usa,usagov,voice-alexa,usagov/voice-alexa,484,15.900131406044677,0.06289256198347108,,0.0,2023-11-14 16:06:49,484,1,1,0,0.0,0.0,True,False,False,False,1,0,0,0,0
usa,usagov,voice-cms,usagov/voice-cms,484,15.900131406044677,0.18867768595041323,,0.0,2023-11-27 19:12:38,471,1,1,0,0.0,0.0,True,False,False,False,3,0,0,0,0
usa,usagov,voice-drupal,usagov/voice-drupal,484,15.900131406044677,0.06289256198347108,,0.0,2023-11-27 15:21:17,471,1,1,0,0.0,0.0,True,False,False,False,1,0,0,0,0
usa,usagov,usagov-logshipper,usagov/usagov-logshipper,467,15.341655716162943,9.451391862955033,172.76501322751324,0.0,2025-02-07 17:30:00,33,4,1,0,100.0,100.0,True,False,True,False,145,0,21,0,21
usa,usagov,cg-logshipper,usagov/cg-logshipper,428,14.060446780551905,3.627196261682243,,0.0,2024-01-31 23:12:02,405,3,1,0,0.0,0.0,True,False,True,False,51,0,0,0,0
usa,usagov,container-cypress-test,usagov/container-cypress-test,396,13.009198423127463,0.8455555555555556,,0.0,2023-10-26 17:52:51,503,1,1,0,0.0,0.0,True,False,False,True,11,0,0,0,0
usa,usagov,api_proxy_poc,usagov/api_proxy_poc,38,1.2483574244415243,12.816842105263158,,100.0,2025-02-03 18:44:20,37,1,1,1,0.0,100.0,True,False,False,False,16,1,0,1,0
usa,usagov,usagov-chatbot-pipeline,usagov/usagov-chatbot-pipeline,6,0.19710906701708278,40.586666666666666,,0.0,2025-03-07 17:55:50,5,1,1,0,0.0,0.0,True,False,False,False,8,0,0,0,0
